Time,Location,Population,Susceptible,Infectious,Recovered
17,01,       699014.8941296074,   575220.4392800723,    37824.2942310722,        6012.140799701232
17,10,       450150.2022654137,   370429.29880849505,    24358.012742868257,        3871.686311353271
17,11,       154802.32857437528,   127387.07600072972,    8376.486499537516,        1331.4357152140958
18,00,       19746.51928997169,   15742.43158945231,    1299.4132258516881,        211.4844514445786
18,01,       708513.6046019706,   564845.2158506344,    46623.50538827403,        7588.153071937339
18,10,       456267.16268543317,   363747.88334148156,    30024.511004142896,        4886.603517092119
18,11,       156905.89247826973,   125089.40143063877,    10325.140796022237,        1680.4559888203212
19,00,       20029.072198640282,   15397.123073834025,    1590.5795232930143,        265.6266696215367
19,01,       718651.7244838489,   552455.3978018041,    57070.67736371835,        9530.799145323259
19,10,       462795.8886879042,   355769.11329301604,    36752.25975076097,        6137.6248189395765
